Timestamp,Workload,Threads,Throughput,P95_Latency,Success_Count,Fail_Count
20:47:13,mixed,10,230.50,0.044698,6927,0
20:47:48,mixed,25,570.50,0.048066,17170,0
20:48:24,mixed,50,960.13,0.065850,28990,0
20:49:00,mixed,100,959.25,0.189375,30116,0
20:49:40,mixed,200,936.38,0.213749,32724,328
20:50:34,mixed,500,854.19,0.260833,42002,2449
20:52:01,mixed,1000,749.86,0.363588,61295,8928
