vus,tps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,cpu_util_pct,disk_util_pct,cpu
10,224.7483569784978,44.36877167876998,null,47.998171400000004,51.2086723,null,11.10,1.02,5
50,975.6886156070552,50.40230147421359,null,56.0956046,57.94863539999999,null,13.13,3.59,16
100,1615.9442195983297,61.13275449886702,null,68.289933,71.5792653,null,16.27,3.26,33
175,2200.0840317022785,78.0569282798819,null,91.92694949999999,95.85525399999999,null,19.86,3.19,50
250,2477.0274751065103,99.57770385805897,null,113.16193980000004,116.3101884,null,20.82,2.97,60
500,2879.5596043287687,170.30345154319167,null,184.265405,191.658005,null,23.17,2.31,72
750,3170.6272090200628,231.12367020761562,null,240.412624,256.2347473,null,24.48,2.39,75
1000,3046.31427345635,297.9139447826661,null,298.88286189999997,340.3476426499999,null,24.92,2.12,74
