vus,tps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,cpu_util_pct,disk_util_pct
10,225.49150098669557,43.87383921190637,null,47.2842598,49.14156049999997,null,9.27,0.03
50,1129.3109188641292,43.259353454287684,null,44.1892682,44.462570400000004,null,8.52,0.02
100,2260.292914220719,43.395210760134944,null,44.3002004,47.80033725,null,9.19,0.03
175,3933.1197787892497,43.65761228343834,null,47.7768355,48.03566205,null,9.63,0.02
250,5183.012066456171,47.38009191433537,null,47.832806,48.10170325,null,11.53,0.03
500,10184.10720097201,47.85524069967005,null,48.104702,51.97995844999999,null,23.91,0.02
750,11130.029324921417,64.67983348910585,null,56.111739,67.69724219999999,null,25.83,0.02
1000,11187.184538970181,84.83458738495861,null,64.126499,76.24583399999999,null,26.38,0.02
1250,11384.616453478657,102.40791663107323,null,71.7578223,84.05311884999999,null,26.36,0.02
